unit,trip_id,toll_loc_id_start,toll_loc_id_end,toll_loc_name_start,toll_loc_name_end,toll_system_type,entry_time,exit_time,tag_cost,cash_cost,license_plate_cost
1000,1000_0,126003000.0,126003200.0,13 - I-278/Eliz/Goethals/Verrazano,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:05:57Z,2023-12-05T14:10:21Z,3.03,3.65,
1000,1000_0,126003201.0,126002800.0,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T14:20:31Z,2023-12-05T14:30:31Z,3.59,4.05,
1000,1000_0,126002800.0,126003200.0,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-05T14:40:01Z,2023-12-05T14:49:51Z,3.59,4.05,
1000,1000_0,126003201.0,126002800.0,13A - Newark Aprt/Elizabeth Seaport,12 - Carteret/Rahway,ticketSystem1,2023-12-05T15:00:10Z,2023-12-05T15:10:09Z,3.59,4.05,
1000,1000_1,130002600.0,130000000.0,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:14:58Z,2023-12-06T04:31:04Z,100.0,,201.8
1000,1000_1,130002600.0,130000000.0,226 - Carlisle,30 - Warrendale,ticketSystem1,2023-12-05T23:14:58Z,2023-12-06T04:31:04Z,100.0,,201.8
1000,1000_2,130003200.0,130000000.0,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T00:18:26Z,2023-12-07T06:08:13Z,108.9,,220.0
1000,1000_2,128006000.0,128004200.0,239 - Eastgate,180 - Akron,ticketSystem1,2023-12-07T07:01:28Z,2023-12-06T23:36:21Z,11.5,14.5,
1000,1000_2,130003200.0,130000000.0,247 - Harrisburg East,30 - Warrendale,ticketSystem1,2023-12-07T00:18:26Z,2023-12-07T06:08:13Z,108.9,,220.0
1000,1000_3,130001000.0,130006000.0,75 - New Stanton,353 - Neshaminy Falls,ticketSystem1,2023-12-08T01:31:00Z,2023-12-08T08:58:29Z,143.1,,288.8
1000,1000_3,126001000.0,126001400.0,6 - PA Turnpike/Florence,7 - Bordentown/Trenton,ticketSystem1,2023-12-08T09:13:43Z,2023-12-08T09:22:58Z,7.97,9.25,
1000,1000_3,126001600.0,126002400.0,7A - I-195/Trenton/Shore Points,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-08T09:40:30Z,2023-12-08T10:25:56Z,10.64,12.15,
1000,1000_4,124004000.0,124003000.0,217 Eastern Terminal,182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T19:44:57Z,2023-12-08T20:38:51Z,6.9,9.0,
1000,1000_4,124003000.0,124003201.0,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T20:43:47Z,2023-12-08T21:05:54Z,2.75,3.75,
1000,1000_4,124003200.0,124003000.0,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T21:06:31Z,2023-12-08T21:29:35Z,2.75,3.75,
1000,1000_4,124003000.0,124003201.0,182 Topeka: K-4 183 Topeka: I-70,"197 Lecompton, Lawrence: K-10",ticketSystem1,2023-12-08T21:34:30Z,2023-12-08T21:56:37Z,2.75,3.75,
1000,1000_4,124003200.0,124003000.0,"197 Lecompton, Lawrence: K-10",182 Topeka: K-4 183 Topeka: I-70,ticketSystem1,2023-12-08T21:57:14Z,2023-12-08T22:20:13Z,2.75,3.75,
2000,2000_5,127000402.0,127000000.0,17 - Newburgh I-84,15 - Woodbury Toll,ticketSystem1,2023-12-09T07:58:55Z,2023-12-09T08:23:28Z,6.74,,8.76
2000,2000_5,126005600.0,126002400.0,18E - Lincoln Tunnel/NJ 3/Secaucus,10 - I-287/Metuchen/Edison Twsp,ticketSystem1,2023-12-09T09:31:26Z,2023-12-09T10:11:11Z,36.02,39.45,
2000,2000_5,127000000.0,127000400.0,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-09T12:36:14Z,2023-12-09T13:00:48Z,6.74,,8.76
2000,2000_6,127004600.0,127004000.0,31 - Utica,29 - Canajoharie,ticketSystem1,2023-12-09T21:36:07Z,2023-12-09T22:39:02Z,8.8,,11.44
2000,2000_6,127004000.0,127004200.0,29 - Canajoharie,29A - Little Falls,ticketSystem1,2023-12-09T22:39:18Z,2023-12-09T23:06:46Z,3.75,,4.88
2000,2000_6,127004200.0,127003800.0,29A - Little Falls,28 - Fultonville,ticketSystem1,2023-12-09T23:06:53Z,2023-12-09T23:53:56Z,6.46,,8.4
2000,2000_7,126002800.0,126003200.0,12 - Carteret/Rahway,13A - Newark Aprt/Elizabeth Seaport,ticketSystem1,2023-12-10T08:24:07Z,2023-12-10T08:33:57Z,3.77,4.05,
2000,2000_7,126004200.0,126005000.0,15E - Newark/Jersey City,16W - Sprtsplx/NJ 3/Secaucus/Ruthrfrd,ticketSystem1,2023-12-10T08:50:35Z,2023-12-10T09:01:03Z,7.65,8.2,
2000,2000_7,127000000.0,127000400.0,15 - Woodbury Toll,17 - Newburgh I-84,ticketSystem1,2023-12-10T10:05:34Z,2023-12-10T10:30:09Z,6.74,,8.76
